,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,1h_percent,24h_percent,7d_percent,30d_percent,60d_percent,90d_percent,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
85,2634,XDC Network,XDC,xinfin,58,2018-04-12,['xdc-ecosystem'],,12305012698.75,37705012698.75,86,2022-06-22T06:02:00.000Z,0.030045839370530916,16651657.98546821,64.5297,-0.78672563,-4.31371326,2.01846565,-29.50467278,-45.43167344,-44.84252777,369714434.99898565,0.0411,1132878755.01,2022-06-22T06:02:00.000Z
86,873,NEM,XEM,nem,125,2015-04-01,"['poi', 'medium-of-exchange', 'payments', 'smart-contracts', 'fantom-ecosystem']",8999999999.0,8999999999.0,8999999999.0,87,2022-06-22T06:02:00.000Z,0.04078379823414426,10055740.20832049,-53.7567,-0.41199252,-3.30276761,7.41701174,-29.48939699,-56.82128286,-63.47877402,367054184.06651455,0.0408,367054184.07,2022-06-22T06:02:00.000Z
87,8646,Mina,MINA,mina,62,2021-03-02,"['pos', 'zero-knowledge-proofs', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio']",,555841245.8400393,824104972.0,88,2022-06-22T06:02:00.000Z,0.6328122641447804,26135577.68612271,9.8711,-0.01653137,-1.82645774,2.12714246,-38.45125826,-71.83533084,-75.6535343,351743157.28509074,0.0391,521503733.22,2022-06-22T06:02:00.000Z
88,4846,Kava,KAVA,kava,82,2019-10-25,"['cosmos-ecosystem', 'defi', 'binance-launchpad', 'binance-labs-portfolio', 'lending-borowing', 'arrington-xrp-capital-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'injective-ecosystem']",,213139566.0,218108316.0,89,2022-06-22T06:01:00.000Z,1.6436376836842357,23004557.96924756,-20.6683,-0.08384211,-3.5694724,3.35466122,-40.69643847,-65.37445448,-57.11544172,350324222.56170326,0.0389,358491047.3,2022-06-22T06:01:00.000Z
89,1168,Decred,DCR,decred,57,2016-02-10,"['mineable', 'hybrid-pow-pos', 'blake256', 'medium-of-exchange', 'store-of-value', 'privacy', 'dao', 'placeholder-ventures-portfolio']",21000000.0,14122170.97987345,14122170.97987345,90,2022-06-22T06:01:00.000Z,23.171100279408424,1490756.13111852,-16.9444,0.01942985,-2.73298567,-4.48139813,-39.57061431,-62.95339424,-60.41884494,327226239.93759924,0.0363,486593105.87,2022-06-22T06:01:00.000Z
90,3945,Harmony,ONE,harmony,94,2019-06-01,"['platform', 'enterprise-solutions', 'scaling', 'smart-contracts', 'binance-launchpad', 'binance-labs-portfolio', 'hashkey-capital-portfolio', 'harmony-ecosystem', 'injective-ecosystem', 'bnb-chain']",,12193284508.00067,13501622508.000679,91,2022-06-22T06:01:00.000Z,0.026665254227546117,34461361.24700926,20.2989,0.21065031,-4.62294158,3.21305654,-47.01953004,-76.96302015,-82.53768092,325137031.2746374,0.0361,360024196.66,2022-06-22T06:01:00.000Z
91,4269,GateToken,GT,gatetoken,23,2019-08-20,"['marketplace', 'centralized-exchange', 'discount-token', 'algorand-ecosystem']",,78351930.48540142,300000000.0,91,2022-06-22T06:01:00.000Z,4.14947021112538,3741282.94573387,-7.8978,-0.27726756,1.09910829,-0.85507693,-28.16940812,-35.71622238,-36.24698367,325119001.53333974,0.0361,1244841063.34,2022-06-22T06:01:00.000Z
92,5632,Arweave,AR,arweave,60,2020-05-27,"['distributed-computing', 'filesharing', 'storage', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'web3']",66000000.0,33394701.0,63190435.0,93,2022-06-22T06:00:00.000Z,9.455798458370966,21498301.14352564,-40.156,0.15536598,-5.15102436,15.36357976,-40.05389543,-66.46960831,-71.12031293,315773562.23355937,0.0351,624082698.25,2022-06-22T06:00:00.000Z
93,5647,Kadena,KDA,kadena,32,2020-05-31,"['mineable', 'pow', 'blake2s', 'platform', 'cosmos-ecosystem', 'smart-contracts', 'coinfund-portfolio', 'multicoin-capital-portfolio']",1000000000.0,184802447.92335,1000000000.0,94,2022-06-22T06:00:00.000Z,1.6781619994821246,24599250.68639778,2.97,-0.39140909,-4.31140156,7.97604243,-35.16174425,-67.18961542,-73.33965193,310128445.51624024,0.0344,1678161999.48,2022-06-22T06:00:00.000Z
94,8677,Symbol,XYM,symbol,38,2021-03-03,[],8999999999.0,5582460004.558402,7967988929.50477,95,2022-06-22T06:02:00.000Z,0.055259160384524435,3900099.22852269,58.6963,-0.22854509,5.07980097,13.14994585,-16.89494925,-50.24385695,-62.08349547,308482052.73208576,0.0343,497332443.41,2022-06-22T06:02:00.000Z
95,1659,Gnosis,GNO,gnosis-gno,71,2017-05-01,"['services', 'decentralized-exchange', 'defi', 'prediction-markets', 'kenetic-capital-portfolio', 'arbitrum-ecosytem']",10000000.0,2579588.0,3000000.0,96,2022-06-22T06:01:00.000Z,115.26893054140292,4602989.95544108,-62.6236,0.35792348,-3.69695879,-3.28886339,-46.80851223,-65.39707184,-65.06386438,297346349.99743646,0.033,1152689305.41,2022-06-22T06:01:00.000Z
96,2083,Bitcoin Gold,BTG,bitcoin-gold,67,2017-10-23,"['mineable', 'medium-of-exchange', 'payments']",21000000.0,17513923.589,17513923.589,97,2022-06-22T06:01:00.000Z,16.761769570877192,16072894.46691887,30.0624,-0.69502366,-1.77453632,12.24518184,-16.29869198,-50.30041255,-60.27785465,293564351.4807685,0.0326,351997160.99,2022-06-22T06:01:00.000Z
97,2405,IOST,IOST,iostoken,102,2018-01-16,"['hardware', 'iot', 'huobi-capital-portfolio']",90000000000.0,18588745668.0,18588745668.0,98,2022-06-22T06:02:00.000Z,0.015538496727824345,78401553.85191458,326.8677,-0.81612281,6.81060698,19.24058529,-12.92039268,-45.29819969,-40.02017262,288841163.736577,0.0321,1398464705.5,2022-06-22T06:02:00.000Z
98,1684,Qtum,QTUM,qtum,188,2017-05-24,"['platform', 'smart-contracts', 'kenetic-capital-portfolio']",107822406.0,104215175.0,103944501.0,99,2022-06-22T06:01:00.000Z,2.767856474224233,44511866.32840522,6.8219,0.230413,-3.52566956,7.18356035,-34.71293772,-57.14152058,-64.18245246,288452646.83616143,0.032,298436944.51,2022-06-22T06:01:00.000Z
99,5692,Compound,COMP,compound,269,2020-06-16,"['defi', 'dao', 'yield-farming', 'polkadot-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'lending-borowing', 'dragonfly-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'bnb-chain']",10000000.0,7152041.04224088,10000000.0,100,2022-06-22T06:01:00.000Z,38.69582131658093,102572899.66115323,5.3211,-0.01554385,-9.65796031,23.9373389,-46.14371155,-71.04368716,-66.96824586,276754102.21940637,0.0307,386958213.17,2022-06-22T06:01:00.000Z
